AgArea,topic,conclusion
Powder-Brownlee,DO,"Two monitoring stations have sufficient data to assess status and trends of dissolved oxygen in the Powder-Brownlee AgWQ Management Area (10724 and 11490). Both monitoring stations are in compliance of the water quality standard within the last two years of analyzed data (2014-2017) and both stations have statistically insignificant trends over the timeframe (2000-2017). Continuous dissolved oxygen data, which is not included in this report, resulted in spawning season dissolved oxygen listings."
Powder-Brownlee,Ecoli,Two monitoring stations have sufficient data to assess water quality status and trends (10724 and 11490) for E. coli. Both monitoring stations have exceedances within the last two years of analyzed data (2014-2017) and an insignificant trend throughout the entire timeframe (2000-2017). 
Powder-Brownlee,pH,"Two monitoring stations (10724 and 11490) have sufficient data to assess water quality status and for pH within the Powder-Brownlee AgWQ Management Area. Both monitoring stations are in compliance of the water quality standard within the last two years of analyzed data trends (2014-2017). Monitoring station 10724 has a significant improving slope (slope near 0), while monitoring station 11490 has an insignificant trend."
Powder-Brownlee,Temp,"No monitoring stations have recent continuous data, sufficient to calculate the 7DADM within the data that is currently available in public and DEQ (Element and LASAR) databases. The Powder Basin Watershed Council collected water quality data, which is not included in the report. DEQ also collected continuous temperature data in 2013 which is not in this report.  "
Powder-Brownlee,TP,Two monitoring stations have sufficient data to assess status trends in total phosphorus within the Powder-Brownlee AgWQ Management Area (10724 and 11490). Both stations have insignificant trends throughout the timeframe (2000-2017).  Both monitoring stations have many results that are not in compliance with the TMDL load allocation (0.07 mg/l) and are in exceedance of the allocation within the last two years of available data. 
Powder-Brownlee,TSS,"Two monitoring stations have sufficient data to assess status and trends in total suspended solids within the Powder-Brownlee AgWQ Management Area (10724 and 11490). Both stations have insignificant trends throughout the timeframe (2000-2017). Though both monitoring stations have exceedances of the TMDL load allocation (50 mg/l), they are in compliance within the last two years of available data. "
Tualatin River Subbasin,Add_conc," Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
Tualatin River Subbasin,Add_conc,All monitoring stations with sufficient data to assess status and/or trends of temperature had exceedances of the water quality standard throughout the analyzed timeframe (2000-2017).
Tualatin River Subbasin,DO,"There are thirteen monitoring stations within the Tualatin River Subbasin AgWQ Management Area that have sufficient dissolved oxygen results to assess the overall water quality status and trends relative to the applicable water quality standard. Seven monitoring stations have continuous dissolved oxygen data, six monitoring stations have grab sample dissolved oxygen data. One monitoring station (10461) has data in compliance of the water quality standard within the last two years of analyzed data, all other stations have at least one exceedance during that time. Station 10459 has a significant improving trend, three monitoring stations (USGS 14202980, USGS 453030122560101, and USGS 14206694) have significant degrading trends. "
Tualatin River Subbasin,Ecoli,"There are six monitoring stations with the Tualatin River Subbasin AgWQ Management Area that have sufficient E. coli results to assess overall water quality status, 42 stations have sufficient data to assess trends. Four monitoring stations (10480, 10469, 10459, and 10459) have at least one exceedance of the water quality standard within the last two years of analyze data. Seven monitoring stations have significant improving trends, eight have significant degrading trends, and 27 have insignificant trends. All stations with improving or degrading trends are monitored and collected by the USGS."
Tualatin River Subbasin,pH,"There are fifteen monitoring stations within the Tualatin River Subbasin AgWQ Management Area that have sufficient pH results to assess the overall water quality status, 46 monitoring stations have sufficient data to assess water quality trends. Five monitoring stations have significant negative trends, 21 monitoring stations have significant positive trends, and 20 monitoring stations do not have a significant trend. Of the stations with recent data to assess status, 14 meet the water quality standard within the last two years, one (USGS 14205400) has at least one exceedance within the last two years."
Tualatin River Subbasin,Temp,There are ten monitoring stations with the Tualatin River Subbasin AgWQ Management Area that have sufficient temperature results to assess overall water quality status and trends and calculate the seven day daily maximum. All stations have at least one exceedance of the applicable water quality standard within the last two years of analyzed data.
Tualatin River Subbasin,TP,"There are 27 monitoring stations within the Tualatin River Subbasin AgWQ Management Area that have sufficient data to assess total phosphorus status (recent two years, results from summer) in relation to the TMDL loading capacity concentrations. Six monitoring stations have sufficient data to assess trends in total phosphorus throughout all seasons. Station 10469 had a significant steady trend while all other stations did not have significant trends."
Tualatin River Subbasin,TSS,"There are six monitoring stations within the Tualatin River Subbasin AgWQ Management Area that have sufficient total suspended solids results to assess water quality and trends, status cannot be assessed since there is no TMDL load allocation. Two stations (10461 and 10459) have significant degrading (positive) trends, all other stations do not have significant trends."
Upper Deschutes,Add_conc,Continued data collection of dissolved oxygen and pH will allow for the assessment of trends in the future
Upper Deschutes,Add_conc,"There are many stations with water quality data within the Upper Deschutes AgWQ Management Area. An increase of continuous data for temperature, dissolved oxygen, and pH will be useful to view diurnal fluctuations within the data."
Upper Deschutes,Add_conc,"Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
Upper Deschutes,DO,"There are 34 monitoring stations within the Upper Deschutes AgWQ Management Area that have sufficient data to assess the overall status of dissolved oxygen in relation to the applicable water quality standard; six stations have sufficient data to assess status and trends of dissolved oxygen. Ten monitoring stations have at least one exceedance of the water quality standard within the most recent two years of analyzed data. Monitoring station 10511 has a significant improving trend, all other stations have no significant trends."
Upper Deschutes,Ecoli,"There are six stations within the Upper Deschutes AgWQ Management Area that have sufficient data to assess status and/or trends of E. coli in relation to the State water quality standard. Within the last two years of analyzed data, all stations met the water quality standard. Station 10686 has a significant degrading (positive) trend, station 10688 has a significant steady trend (slope of zero), and all other stations have no significant trend."
Upper Deschutes,pH,"There are 33 monitoring stations within the Upper Deschutes AgWQ Management Area with sufficient data to assess water quality status in relation to the State water quality standard; six monitoring stations have sufficient data to assess water quality status and trends. Six monitoring stations had at least one exceedance of the water quality standard within the last two years of analyzed data, the rest of the stations were within the water quality standard values. One monitoring station has a significant positive trend (10508), station 10688 has a significant steady trend (slope = zero), the rest of the stations did not have a significant trend."
Upper Deschutes,Temp,"There are 17 monitoring stations within the Upper Deschutes AgWQ Management Area that have sufficient data to calculate the seven day average daily maximum and assess water quality last known status, none of the stations had sufficient data to assess temperature trends. All monitoring stations had exceedances of the applicable water quality standard within the last two years of analyzed data except USGS 14076500 and USGS 14087400."
Upper Deschutes,TP,"There are 33 monitoring stations within the Upper Deschutes AgWQ Management Area that have sufficient data to assess status and trends of total phosphorus, though there is no total phosphorus TMDL within the basin and therefore only raw results are displayed in the report. No stations have significant trends."
Upper Deschutes,TSS,"There are 26 monitoring stations within the Upper Deschutes AgWQ Management Area that have sufficient data to assess status and trends of total suspended solids, though there is no total suspended solids TMDL within the basin and therefore only raw results are displayed in the report. No stations have significant trends."
Walla Walla,Add_conc,"Little data exists in the Walla Walla AgWQ Management Area that is sufficient to assess water quality status and trends. One monitoring station has sufficient data to assess water quality status for E. coli, pH, and dissolved oxygen. There is no continuous temperature data and therefore insufficient data to assess the temperature water quality status and trends in relation to the water quality standard and TMDL load allocations."
Walla Walla,Add_conc,"Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
Walla Walla,Add_conc,The monitoring station with sufficient data to assess status and/or trends does not give a representative analysis of the Walla AgWQ Management Area
Walla Walla,Add_conc,"No monitoring stations that fit the criteria to assess status and/or trends have continuous dissolved oxygen pH, or temperature data, which is useful to understand the diurnal fluctuations. "
Walla Walla,DO,One monitoring station had sufficient data to assess water quality status in relation to dissolved oxygen results in the Walla Walla AgWQ Management Area. Monitoring station 36786 has data from 2011-2017 and has exceedances of the dissolved oxygen water quality standard during that timeframe and within the last two years (2015-2017).
Walla Walla,Ecoli,One monitoring station had sufficient data to assess water quality status in relation to E. coli results in the Walla Walla AgWQ Management Area. Monitoring station 36786 has data from 2011-2017 and has exceedances of the E. coli water quality standard during that timeframe and within the last two years (2015-2017).
Walla Walla,pH,One monitoring station had sufficient data to assess water quality status in relation to pH results in the Walla Walla AgWQ Management Area. Monitoring station 36786 has data from 2011-2017 and does not have any exceedances of the water quality standard during that timeframe.
Walla Walla,Temp,"There is insufficient data to calculate the seven day average daily maximum and therefore assess status and/or trends of temperature in the Walla Walla AgWQ Management Area. Continuous (sufficient for calculating was collected at multiple stations between 2000 and 2003), but since temperature grab samples have been collected (the 7DADM cannot be calculated from temperature grab samples). Since no monitoring stations have greater than eight years of continuous temperature data and/or recent data, there are no stations that fit the criteria to assess status and/or trends in the Walla Walla AgWQ Management Area. See the Interactive Status and Trends Document (Appendix) for complete list of monitoring stations and the number of results per year."
Walla Walla,TP,One monitoring station (36786) has total phosphorus data in the Walla Walla AgWQ Management Area. There is no TMDL in this basin and therefore the data is not compared to a standard or TMDL load allocation. 
Walla Walla,TSS,One monitoring station (36786) has total suspended solids data in the Walla Walla AgWQ Management Area. There is no TMDL in this basin and therefore the data is not compared to a standard or TMDL load allocation.
Wallowa,Add_conc,"One monitoring station in the Wallowa AgWQ Management Area has long-term continuous temperature data, sufficient to calculate the 7DADM and assess against the applicable water quality standard. Additional continuous temperature, dissolved oxygen and pH data would be useful in the AgWQ management are to better understand in-stream diurnal fluctuations. "
Wallowa,Add_conc, There are not enough monitoring stations with sufficient data to assess status and/or trends within the Wallowa AgWQ Management Area to understand the spatial homogeneity of the basin.
Wallowa,Add_conc," Additional data is needed to evaluate site potential vegetation on the agricultural land, which would require remote sensing data to determine tree heights and calculate effective shade."
Wallowa,Add_conc,Station 10410 has a some continuous data in 2001 for dissolved oxygen and pH. 
Wallowa,DO," There are three monitoring stations within the Wallowa AgWQ Management Area that have sufficient data to assess water quality status and/or trends of dissolved oxygen in relation to the applicable Oregon water quality standards. Monitoring stations 11457 and 35825 has exceedances of the water quality standard within the last two years of assessed data, while station 10410 meets the water quality standard within the last two years. Station 35825 only has grab data within the last two years while stations 11457 and 10410 have enough data to assess trends, which are insignificant."
Wallowa,Ecoli,"There are two monitoring stations within the Wallowa AgWQ Management Area that have sufficient data to assess water quality status and/or trends of E. coli in relation to the Oregon water quality standards. Both monitoring stations (10410 and 11457) have significant degrading trends. Monitoring station 11457 is does not have any exceedances of the water quality standard within the last two years of assessed data, while monitoring station 10410 has at least an exceedance of the water quality standard within the last two years."
Wallowa,pH,"There are two monitoring stations within the Wallowa AgWQ Management Area that have sufficient data to assess water quality status and/or trends of pH in relation to the applicable Oregon water quality standards. Both statins meet the water quality standard within the last two years of assessed data. Monitoring station 11457 has a significant positive trend, monitoring station 10410 does not have a significant trend."
Wallowa,Temp,"There is one monitoring station within the Wallowa AgWQ Management Area that has sufficient data to calculate the seven-day-average-daily maximum and assess the results in relation to the applicable water quality standard. The monitoring station, USGS-13331500, has exceedances of the water quality standard within the last two years of assessed data."
Wallowa,TP,There are two monitoring stations within the Wallowa AgWQ Management Area that have sufficient data to assess total phosphorus trends. No total phosphorus TMDL load allocation exists within the Wallowa AgWQ Management Area. Monitoring station 11457 has a significant steady trend (slope equals zero); monitoring station 10410 has an insignificant trend. Monitoring station 35825 has grab sample data within the last two years.
Wallowa,TSS, There are two monitoring stations within the Wallowa AgWQ Management Area that have sufficient data to assess total suspended solids trends. No total suspended solid TMDL load allocation exists within the Wallowa AgWQ Management Area. Monitoring station 11457 has a significant steady trend (slope equals zero); monitoring station 10410 has an insignificant trend.
Yamhill,Add_conc,Monitoring stations with sufficient data to assess status and/or trends do not display spatial homogeneity within the Yamhill AgWQ Management Area.
Yamhill,Add_conc,"No monitoring stations that fit the criteria to assess status and/or trends have continuous dissolved oxygen or pH data, which is useful to understand the diurnal fluctuations."
Yamhill,Add_conc,"All monitoring stations with total phosphorus data have exceedances of the TMDL load allocation, expressed in the 1992 Yamhill Subbasin TMDL."
Yamhill,Add_conc,"All five monitoring stations are located on larger streams. Four of the five stations exceeded the temperature status (last two years of available data). For the Middle Willamette, stations are not representative of the implementation statrigies identified in the Temperature TMDL for smaller streams."
Yamhill,DO,"Three monitoring stations (10363, 10929, and 10948) have sufficient data to assess status and/or trends of dissolved oxygen within the Yamhill AgWQ Management Area. None of the stations have continuous data and none display significant trends. All stations have exceedances of the water quality criteria within the last two years of data (2015-2017)."
Yamhill,Ecoli,"Three monitoring stations (10363, 10929, and 10948) have sufficient data to assess status and/or trends of E. coli within the Yamhill AgWQ Management Area. Stations 10363 and 10948 do not have enough data to calculate the geometric mean for determining water quality status during the entire timeframe (2000-2017). None of the monitoring stations had significant trends and all had at least one exceedance of the water quality criteria within the last two years of data (2015-2017)."
Yamhill,pH,"Three monitoring stations (10363, 10929, and 10948) have sufficient data to assess status and/or trends of pH within the Yamhill AgWQ Management Area. The results for station 10363 have decreasing (degrading) trends and there are exceedances of the pH water quality criteria within the last two years (2015-2017) of data. Stations 10929 and 10948 do not have significant trends and do not have any exceedances of the water quality criteria during the last two years of data (2015-2017)."
Yamhill,Temp,"Four monitoring stations (USGS 14197900, USGS 14192015, 10363, and 10948) have sufficient data to calculate the temperature seven day average daily maximum (7DADM) and compare results to the water quality criteria within the Yamhill AgWQ Management Area. All monitoring stations have exceedances of the water quality criteria within the last two years of available data. None of the monitoring stations have significant trends. The USGS monitoring stations have continuous data."
Yamhill,TP,"Three monitoring stations (10363, 10929, and 10948) have sufficient data to assess status and trends of total phosphorus within the Yamhill AgWQ Management Area. No monitoring stations had results that represented significant trends. All monitoring stations had consistent exceedances of the TMDL load allocation of 0.07 mg/l through the entire timeframe."
Yamhill,TSS,"Three monitoring stations (10363, 10929, and 10948) have sufficient data to assess trends of total suspended solids within the Yamhill AgWQ Management Area. Stations 10498 and 10929 had significant trends; station 10948 displays significant steady trends, while 10929 displays significant increasing (degrading) trends. Data was not compared to a TMDL load allocation since one has not been developed for the Middle Willamette or Yamill Subbasins."
Curry County,DO,
Curry County,Ecoli,There are seven monitoring stations within the Curry County AgWQ Management Area that have sufficient data to assess status and/or trends of E. coli data. None of the stastions exceeded the 
Curry County,pH,
Curry County,Temp,
Curry County,TP,
Curry County,TSS,
